"Icon","Density","ExpectedPx","Path","Status","Width","Height","Bytes"
"ic_download","mdpi","24","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-mdpi\ic_download.webp","OK","24","24","108"
"ic_download","xhdpi","48","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-xhdpi\ic_download.webp","OK","48","48","180"
"ic_download","xxhdpi","72","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-xxhdpi\ic_download.webp","OK","72","72","238"
"ic_download","xxxhdpi","96","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-xxxhdpi\ic_download.webp","OK","96","96","298"
"ic_edit","hdpi","36","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-hdpi\ic_edit.webp","OK","36","36","130"
"ic_edit","mdpi","24","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-mdpi\ic_edit.webp","OK","24","24","106"
"ic_edit","xhdpi","48","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-xhdpi\ic_edit.webp","OK","48","48","140"
"ic_edit","xxhdpi","72","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-xxhdpi\ic_edit.webp","OK","72","72","182"
"ic_edit","xxxhdpi","96","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-xxxhdpi\ic_edit.webp","OK","96","96","226"
"ic_email","hdpi","36","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-hdpi\ic_email.webp","OK","36","36","170"
"ic_email","mdpi","24","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-mdpi\ic_email.webp","OK","24","24","132"
"ic_email","xhdpi","48","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-xhdpi\ic_email.webp","OK","48","48","198"
"ic_email","xxhdpi","72","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-xxhdpi\ic_email.webp","OK","72","72","288"
"ic_email","xxxhdpi","96","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-xxxhdpi\ic_email.webp","OK","96","96","376"
"ic_expand","hdpi","36","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-hdpi\ic_expand.webp","OK","36","36","142"
"ic_expand","mdpi","24","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-mdpi\ic_expand.webp","OK","24","24","100"
"ic_expand","xhdpi","48","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-xhdpi\ic_expand.webp","OK","48","48","174"
"ic_expand","xxhdpi","72","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-xxhdpi\ic_expand.webp","OK","72","72","240"
"ic_expand","xxxhdpi","96","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-xxxhdpi\ic_expand.webp","OK","96","96","302"
"ic_eye","hdpi","36","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-hdpi\ic_eye.webp","OK","36","36","178"
"ic_eye","mdpi","24","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-mdpi\ic_eye.webp","OK","24","24","128"
